text	label
RT @Circa_LPN: hey @XavierWoodsPhD .... what's going on here?!?  (((╹д╹;))) https://t.co/hjmaGh1zqQ	0.0
(((NEW VIDEO))) @Time2LiveEnt interviews #hiphop group @TripleSMG https://t.co/qZLHrntkWQ #videointerview #theindiemovement #t2letv #vbmg	0.0
(((Hot New Freestyle))) Ft Mally King of @TripleSMG ~ https://t.co/CAQW9hLvLH Backstage @fillmoress #makesound #dmv	0.0
"(((random))) internet outage again.
Oy vey shut it down!"	1.0
"@Seanguy1234 ""Jeb Bush""? more like (((Jeb Bush)))"	1.0
@drawn2theWaters In any event, as always: ((((hugs)))) ❤️	0.0
@Mrs_Smith_68 I know it's been rough dear. And all I can do is offer you did you told hugs from across the world (((❤️)))	0.0
@MiniLaddd get a man that can do both (((o(*ﾟ▽ﾟ*)o)))	0.0
@DylonShow @hikikomoriamy pokemon snap (((o(*ﾟ▽ﾟ*)o))) https://t.co/MzEwwmldYv	0.0
(((Crowder))) The Coward https://t.co/yXx7x8br6j	1.0
Weev Nails Down the (((Alt-Right))) Question https://t.co/M7o4Fnvkck	1.0
Gotten your tickets for #Olic3 yet? #DontDull it promises to be (((🔥HOT🔥))). Tickets on @nairabox https://t.co/3DPD2H0oJ4 #15daysToOLIC3 https://t.co/eMFGG1gx2Z	0.0
RT @shannonNTIL: There will be new videos SOON! Who's excited?? (((hopefully some of u lol)))	0.0
"RT @urbit_: FYI: neither Urbit nor Curtis (((Yarvin))) has anything to do with the ""coincidence detector."""	1.0
@LJAstoria (((Hugs)))	0.0
@firingouty family can be the worst. (((hugs)))	0.0
RT @Clausfarre143: Sick Hillary's campaign all washed up... How low will the (((media))) go to save her now? #WR #hillness https://t.co/vci…	1.0
RT @ObamaMalik: ((((((((((CNN))))))))))	1.0
@mimiitsyou madali lang bes talaga wala lang akong time pumunta sa inyo dahil sa time na walang pasok ako pupunta akong main (((*may-ari)))	0.0
"1. twice (((because)))
2. got7
3. baek a yeon
4. 15&amp;
5. miss a or wonder girls??????"	0.0
@ChaN_630 ((( ....KOK GRANDMA TAU TANGAN AKU KEPENTOK PINTU KEMARIN?? WAH SYANG CERITA YA???  )))	0.0
(((((Sepresi))))) https://t.co/Q2ViJomHBE	0.0
Celebrating the animated debut of the Serious Punch with a sketch! (((o(*ﾟ▽ﾟ*)o))) https://t.co/HoQPvxZ9lG	0.0
@Troloze Okay! Thank you! (((o(*ﾟ▽ﾟ*)o)))	0.0
@MTD1954 Will Ferrell is the goyish medium for (((JUDD APATOW))) and (((LORNE LIPOWITZ))).	1.0
RT @ramzpaul: ((( Sanders ))) https://t.co/Oui8xLAxTM	1.0
خصوصاً ان ويز خليفه مو اي شيء تسحبين عليه (((ايقونة هيبهوب))) وش كان ضرها لو طلعت وغنّت؟المفروض انها مشّت الموضوع وتكون متعودة على هيك اشياء	0.0
(((ديفرنت ستيج ذان ماي)))!!!!!. https://t.co/4t31YyBlVR	0.0
